object_id,img_file_name,collection_method,ESD_um,area_um2,biovolume_um3,object_circ.,object_elongation,object_solidity,object_eccentricity,object_MeanHue,object_MeanSaturation,object_MeanValue,umap_x,umap_y
2024-03-12_01-32-14-994899_7,2024-03-12_01-32-14-994899_7.jpg,PP,49.54198174166697,1927.6875,53036.68762750115,0.6992582181729341,1.5481947883878917,0.9202470461868958,0.7634105573893895,87.55237817332944,14.213306098628538,239.16632623285673,-1.9585199,10.160411
2024-03-12_01-32-14-994899_8,2024-03-12_01-32-14-994899_8.jpg,PP,41.1906697060287,1332.5625,31331.20701859789,0.7602584235120339,1.4604879090287828,0.9464642429085098,0.7288224930185127,44.838328408611225,131.2085268045589,168.50232165470663,10.827026,8.382534
2024-03-12_01-32-14-994899_9,2024-03-12_01-32-14-994899_9.jpg,PP,45.47941996576333,1624.5,66456.89415544491,0.2448482411193596,1.4681789133823226,0.5372023809523809,0.7321756159391939,48.579986149584485,18.05609418282549,233.68421052631575,-5.102519,7.0749736
2024-03-12_01-32-14-994899_10,2024-03-12_01-32-14-994899_10.jpg,PP,38.373187689925054,1156.5,48259.19345181344,0.2324223628578933,1.2651911005484546,0.5988930964171278,0.6125982725036835,86.82976653696498,21.81128404669261,219.6853112840467,-4.287474,9.693752
2024-03-12_01-32-14-994899_11,2024-03-12_01-32-14-994899_11.jpg,PP,30.747038263316654,742.5,8575.073796825958,0.3992783955995721,4.127307133843724,0.8301886792452831,0.9702041907550508,120.93409090909093,19.506818181818183,238.3030303030303,-3.854777,8.363579
2024-03-12_01-32-14-994899_12,2024-03-12_01-32-14-994899_12.jpg,PP,42.44940830784852,1415.25,39946.17716546652,0.8755920750119962,1.0124928588146211,0.9748159628051144,0.1566051793239164,62.92209856915739,129.03298887122418,195.2193958664547,10.099782,4.1339784
2024-03-12_01-32-16-803935_0,2024-03-12_01-32-16-803935_0.jpg,PP,140.4424155922227,15491.25,1622413.478524663,0.4053006464011948,1.3340674667254964,0.7544378698224852,0.6619055173072362,58.439034132171386,20.951960784313727,226.05773420479304,-3.5181158,10.655703
2024-03-12_01-32-16-803935_1,2024-03-12_01-32-16-803935_1.jpg,PP,49.72235800914416,1941.75,109389.04386727128,0.3073941496176446,1.186164363823085,0.5737078278211734,0.5378297336796062,74.88702201622247,28.51796060254925,222.9643684820394,-3.049998,10.289349
2024-03-12_01-32-16-803935_2,2024-03-12_01-32-16-803935_2.jpg,PP,51.16347258058183,2055.9375,117407.81789862242,0.2765073604142869,1.2966891769669595,0.5705588510771152,0.6365991843895697,61.62134062927497,36.57619699042408,213.60574555403556,-3.395512,10.699595
2024-03-12_01-32-16-803935_3,2024-03-12_01-32-16-803935_3.jpg,PP,50.095460300041225,1971.0,50807.91712523537,0.7721956694561417,1.7585760956876917,0.9565929565929566,0.8225852073902145,42.85074200913242,114.8538812785388,183.8530251141553,12.735524,5.934385
2024-03-12_01-32-16-803935_4,2024-03-12_01-32-16-803935_4.jpg,PP,40.285269698837276,1274.625,32301.009065233575,0.8843781912198786,1.1298480485638285,0.979256698357822,0.4654488738845583,45.6513680494263,93.69108561341572,204.0,10.223706,3.1932542
2024-03-12_01-32-16-803935_5,2024-03-12_01-32-16-803935_5.jpg,PP,52.02412310408726,2125.6875,75067.97754929544,0.6720481899153858,1.193201372276439,0.8967726625533935,0.5455450426586483,82.03466525535856,24.81608891241069,217.30193172797036,-1.5694942,9.15643
2024-03-12_01-32-16-803935_6,2024-03-12_01-32-16-803935_6.jpg,PP,47.202644267191104,1749.9375,44890.453732343725,0.8118650142567942,1.5642136413760703,0.961372064276885,0.7689583641171304,71.45580199292831,112.05046608807456,203.68531018964964,5.920183,8.912337
2024-03-12_01-32-16-803935_7,2024-03-12_01-32-16-803935_7.jpg,PP,44.580795774190065,1560.9375,41162.778836362646,0.5187740874165764,1.8409805406101512,0.792630676949443,0.8396105846494364,59.86846846846847,114.86774774774774,190.9091891891892,11.658193,6.905636
2024-03-12_01-32-18-510545_0,2024-03-12_01-32-18-510545_0.jpg,PP,184.39680136064916,26705.25,3318492.5211176462,0.2598728172866826,1.8618866927041369,0.6421142323870322,0.8435251919613813,70.15315106580167,58.500421265481506,177.682049877833,-3.8735807,11.759628
2024-03-12_01-32-18-510545_1,2024-03-12_01-32-18-510545_1.jpg,PP,48.967625760521564,1883.25,47669.50858370771,0.7167782766943265,1.7948951944996865,0.9212988442487616,0.8304215376053629,51.53464755077658,110.05764635603346,185.9017323775388,12.227365,6.152723
2024-03-12_01-32-18-510545_2,2024-03-12_01-32-18-510545_2.jpg,PP,32.458067499418405,827.4375,18422.596759759213,0.2135139362537381,2.711437157120119,0.5146955913226032,0.9295055576039783,60.90550645819171,9.83956492182189,243.28823929299796,-4.7859383,6.8606534
2024-03-12_01-32-18-510545_3,2024-03-12_01-32-18-510545_3.jpg,PP,44.53257423949981,1557.5625,35506.19274345271,0.7350077825235917,1.8316222692992,0.9345258184272696,0.837808572273714,29.04008667388949,121.49259660527268,185.66955579631636,9.089425,9.718985
2024-03-12_01-32-18-510545_4,2024-03-12_01-32-18-510545_4.jpg,PP,38.809313366125814,1182.9375,29439.087817004547,0.5668234110850666,1.82685872470544,0.8521069692058347,0.836879144928852,50.27960057061341,94.48169281978126,192.07132667617688,7.1508512,6.958144
2024-03-12_01-32-18-510545_5,2024-03-12_01-32-18-510545_5.jpg,PP,68.95010736103319,4094.4375,253970.1510194049,0.2427409095846925,1.434969851331946,0.6913143095188502,0.7171889598906668,80.26294820717132,26.419563126803133,219.5779640060448,-3.5967948,10.515509
2024-03-12_01-32-18-510545_6,2024-03-12_01-32-18-510545_6.jpg,PP,43.317857507654345,1473.75,43631.66060586759,0.3006567358826962,1.822348208418855,0.6614491290078263,0.8359913968165857,66.67099236641221,35.48702290076336,222.5030534351145,-5.2842793,7.4615126
2024-03-12_01-32-18-510545_7,2024-03-12_01-32-18-510545_7.jpg,PP,16.01245182103738,201.375,7070.052504911837,0.116957333206232,5.300266248997899,0.2544420753375977,0.982040589229697,45.67877094972067,11.689944134078212,215.7150837988827,-4.2138033,6.6277537
2024-03-12_01-32-18-510545_8,2024-03-12_01-32-18-510545_8.jpg,PP,46.37607490368636,1689.1875,39341.486540675774,0.7330227816448003,1.868153677303411,0.9479166666666666,0.8446696974619539,54.81418581418581,129.32134532134532,196.3303363303363,11.998459,6.1524544
2024-03-12_01-32-18-510545_9,2024-03-12_01-32-18-510545_9.jpg,PP,49.69354180387877,1939.5,52542.30252799065,0.3236208883471484,3.113762074282074,0.6611697027804411,0.9470266730112592,57.09860788863109,52.94518561484919,189.1044083526682,-1.5076634,8.168191
2024-03-12_01-32-20-218153_0,2024-03-12_01-32-20-218153_0.jpg,PP,38.354519147010414,1155.375,27712.513192520117,0.7760956691592658,1.236290420821309,0.939615736505032,0.5879855529647807,40.30282375851996,120.34858812074002,193.36319376825705,7.315911,7.34555
2024-03-12_01-32-20-218153_1,2024-03-12_01-32-20-218153_1.jpg,PP,190.81601526947338,28596.9375,4946785.29282167,0.1576804815645769,1.843971144822506,0.5509031999393171,0.840179868668591,79.79435079368201,56.706013100179,178.1165640551545,-3.7647462,11.649531
2024-03-12_01-32-20-218153_2,2024-03-12_01-32-20-218153_2.jpg,PP,26.043018066002105,532.6875,17499.489951419717,0.2811228497474181,2.643449260266011,0.5299384443200895,0.925685656252454,81.76557550158395,6.672650475184794,242.10454065469904,-4.240082,8.966178
2024-03-12_01-32-20-218153_3,2024-03-12_01-32-20-218153_3.jpg,PP,47.474969474407,1770.1875,41967.23494852,0.7321500796632363,1.8990389445922864,0.9310650887573964,0.8501242527162158,50.204957102001906,111.89354941213854,182.73911661900223,11.683268,6.2596116
2024-03-12_01-32-20-218153_4,2024-03-12_01-32-20-218153_4.jpg,PP,29.932636905822793,703.6875,10781.825948133022,0.3561714191986678,2.664321483011722,0.7000559597090095,0.9268912178573954,45.26538768984812,10.613908872901678,242.65867306155076,-4.81151,6.853819
2024-03-12_01-32-20-218153_5,2024-03-12_01-32-20-218153_5.jpg,PP,42.348056611366204,1408.5,32237.882243927226,0.8080203994163118,1.580003004998865,0.9612284069097888,0.7742252211547335,31.07108626198083,125.60223642172524,174.14896166134184,9.395569,9.659062
2024-03-12_01-32-20-218153_6,2024-03-12_01-32-20-218153_6.jpg,PP,75.99614842160553,4651.875,244894.983179534,0.4820966001898776,1.1889758321292951,0.8670967741935484,0.5409418594602686,72.50665054413543,42.02902055622733,211.46021765417171,-3.1197555,10.785388
2024-03-12_01-32-20-218153_7,2024-03-12_01-32-20-218153_7.jpg,PP,91.06900726657047,6646.5,1053193.8965093433,0.1321230823899606,1.2852594629726413,0.5295893167474618,0.6281986199599439,73.22494922139472,24.560341909275557,227.90089708869328,-5.579134,7.395225
2024-03-12_01-32-20-218153_8,2024-03-12_01-32-20-218153_8.jpg,PP,46.12055739497498,1670.625,39589.571106375675,0.7535395439903636,1.800547156395268,0.944055944055944,0.8315921948507355,57.97744107744108,141.25690235690234,193.72828282828283,11.654804,7.5956798
